Symbol,logFC,p_value
BX005132.2,-2.84E-12,0.999988109
BX005132.1,-2.84E-12,0.999988109
AL691497.1,-2.84E-12,0.999988109
AL139823.1,-2.84E-12,0.999988109
Z98259.3,-2.84E-12,0.999988109
Z98259.2,-2.84E-12,0.999988109
Z98259.1,-2.84E-12,0.999988109
AL365255.1,-2.84E-12,0.999988109
NPHP4,0.328212053,0.999988109
KCNAB2,0.382412764,0.013779888
CHD5,-4.172805724,0.194024165
RPL22,-0.048816449,0.067364151
AL031847.1,-2.84E-12,0.999988109
RNF207,2.063736261,0.525461923
ICMT,0.241600415,0.999988109
LINC00337,16.90231096,0.999988109
HES3,-2.84E-12,0.999988109
ACOT7,0.708154488,0.114285022
AL031848.2,0.841491388,0.999988109
ESPN,-2.033998035,0.079210077
AL031848.1,-2.84E-12,0.999988109
TNFRSF25,0.110850095,0.404360706
PLEKHG5,0.539713006,0.999988109
NOL9,-0.190759886,0.334368013
TAS1R1,-2.84E-12,0.999988109
ZBTB48,0.390433012,0.999988109
KLHL21,-0.170995982,0.999988109
PHF13,0.909896229,0.250921615
THAP3,0.163837055,0.999988109
DNAJC11,0.140825053,0.999988109
LINC01672,-2.84E-12,0.999988109
AL591163.1,-2.84E-12,0.999988109
CAMTA1-DT,-2.385973705,0.057371608
CAMTA1,0.020262187,0.999988109
AL512330.1,-2.84E-12,0.999988109
Z97987.1,-2.84E-12,0.999988109
AL365194.1,-2.84E-12,0.999988109
AL359881.3,-2.84E-12,0.999988109
AL359881.2,-2.84E-12,0.999988109
AL359881.1,-2.84E-12,0.999988109
VAMP3,-0.095202466,0.999988109
PER3,-1.078136915,0.00015744
Z98884.1,-0.112910389,0.999988109
UTS2,-4.042144706,9.18E-05
TNFRSF9,-0.82354187,6.29E-37
PARK7,-0.093487298,0.029850589
AL034417.4,-0.83099101,0.789277824
AL034417.3,-1.124563518,0.945820144
ERRFI1,-0.550611137,0.186956104
AL034417.2,15.86280692,0.999988109
LINC01714,-2.84E-12,0.999988109
AL358876.2,-2.84E-12,0.999988109
SLC45A1,16.58264966,0.999988109
RERE,0.315124487,0.756081675
ENO1,-0.034910223,0.387101018
ENO1-AS1,-0.155909739,0.999988109
CA6,-2.195059551,0.694211022
SLC2A7,-2.84E-12,0.999988109
SLC2A5,-2.84E-12,0.999988109
GPR157,-1.527594486,0.902226106
MIR34AHG,-8.165358909,0.400033738
LINC01759,-2.84E-12,0.999988109
H6PD,0.071982557,0.999988109
SPSB1,-0.059962272,0.999988109
BX323043.1,-2.84E-12,0.999988109
AL928921.2,-2.84E-12,0.999988109
AL928921.1,-2.84E-12,0.999988109
SLC25A33,0.015310772,0.999988109
TMEM201,-0.013952476,0.999988109
PIK3CD,-0.300283547,0.999988109
PIK3CD-AS1,16.58265532,0.999988109
PIK3CD-AS2,-0.792704119,0.999988109
CLSTN1,-0.462824322,0.201785062
CTNNBIP1,0.189842659,0.999988109
AL357140.1,-2.84E-12,0.999988109
LZIC,0.085984891,0.999988109
NMNAT1,0.907647992,0.999988109
RBP7,-2.84E-12,0.999988109
UBE4B,-0.703193198,0.441286196
KIF1B,0.126263851,0.999988109
AL139424.3,-2.84E-12,0.999988109
PGD,0.168684766,0.662361442
CENPS-CORT,-0.713169339,0.999988109
CENPS,-1.792305771,0.004485591
CORT,-4.233397584,0.211996649
DFFA,0.068691483,0.999988109
PEX14,-0.042967966,0.999988109
CASZ1,0.678342048,0.999988109
AL139423.1,4.257358037,0.999988109
C1orf127,-2.84E-12,0.999988109
TARDBP,-0.480491458,0.00221524
MASP2,-1.897212471,0.999988109
AL109811.3,0.115326969,0.999988109
SRM,-0.252188807,7.61E-16
EXOSC10,0.265226016,0.349907721
AL109811.1,16.58262323,0.999988109
MTOR,0.104465612,0.999988109
MTOR-AS1,-2.84E-12,0.999988109
ANGPTL7,-2.84E-12,0.999988109
UBIAD1,-0.180998845,0.487785572
AL031291.1,-2.84E-12,0.999988109
DISP3,15.86281413,0.999988109
AL031731.1,-2.84E-12,0.999988109
FBXO2,-1.238215706,0.999988109
FBXO44,0.252919211,0.999988109
FBXO6,-0.423888099,0.999988109
MAD2L2,0.375904044,0.441507487
AGTRAP,-2.172204394,0.703854116
C1orf167,-2.84E-12,0.999988109
AL953897.1,-2.84E-12,0.999988109
MTHFR,-0.589446169,0.715327973
CLCN6,-0.097318123,0.999988109
NPPA,-2.84E-12,0.999988109
NPPB,-2.84E-12,0.999988109
KIAA2013,0.299515566,0.999988109
PLOD1,0.212816765,0.999988109
MFN2,-0.069343043,0.999988109
MIIP,0.821480882,0.001241019
TNFRSF8,1.070229753,0.893280091
TNFRSF1B,-0.580200884,5.18E-22
VPS13D,-0.055734303,0.999988109
AC243836.1,-2.84E-12,0.999988109
DHRS3,-0.182086988,0.897148777
AC254633.1,-0.421957335,0.999988109
AADACL4,-2.84E-12,0.999988109
AADACL3,-2.84E-12,0.999988109
C1orf158,-2.84E-12,0.999988109
PRAMEF12,-2.84E-12,0.999988109
PRAMEF1,-2.84E-12,0.999988109
LINC01784,-2.84E-12,0.999988109
PRAMEF11,-2.84E-12,0.999988109
HNRNPCL1,-2.84E-12,0.999988109
PRAMEF2,-2.84E-12,0.999988109
PRAMEF4,-2.84E-12,0.999988109
PRAMEF10,-2.84E-12,0.999988109
PRAMEF7,-2.84E-12,0.999988109
PRAMEF6,-2.84E-12,0.999988109
PRAMEF27,-2.84E-12,0.999988109
HNRNPCL3,-2.84E-12,0.999988109
PRAMEF25,-2.84E-12,0.999988109
HNRNPCL2,-2.84E-12,0.999988109
AC245056.1,-2.84E-12,0.999988109
PRAMEF26,-2.84E-12,0.999988109
HNRNPCL4,-2.84E-12,0.999988109
PRAMEF9,-2.84E-12,0.999988109
PRAMEF13,-2.84E-12,0.999988109
PRAMEF18,-2.84E-12,0.999988109
PRAMEF5,-2.84E-12,0.999988109
PRAMEF8,-2.84E-12,0.999988109
PRAMEF33,-2.84E-12,0.999988109
PRAMEF15,-2.84E-12,0.999988109
AC243961.1,-2.84E-12,0.999988109
PRAMEF14,-2.84E-12,0.999988109
PRAMEF19,-2.84E-12,0.999988109
PRAMEF17,-2.84E-12,0.999988109
PRAMEF20,-2.84E-12,0.999988109
LRRC38,-2.84E-12,0.999988109
AL354712.1,-2.84E-12,0.999988109
PDPN,-2.84E-12,0.999988109
AL359771.1,-2.84E-12,0.999988109
PRDM2,0.006640502,0.999988109
KAZN,0.203424904,0.999988109
AL357873.1,-2.84E-12,0.999988109
KAZN-AS1,-2.84E-12,0.999988109
TMEM51-AS1,-2.84E-12,0.999988109
TMEM51,18.5401879,0.999988109
C1orf195,-2.84E-12,0.999988109
AL031283.2,-2.84E-12,0.999988109
AL031283.3,-2.84E-12,0.999988109
AL031283.1,-5.798944736,0.477591176
EFHD2,-0.642155195,1.99E-12
CTRC,#NAME?,0.208372552
CELA2A,-2.84E-12,0.999988109
CELA2B,-2.84E-12,0.999988109
CASP9,0.285373345,0.999988109
DNAJC16,-0.212048229,0.999988109
AGMAT,0.055537954,0.999988109
DDI2,-0.089589669,0.999988109
RSC1A1,-2.84E-12,0.999988109
AL121992.2,-2.84E-12,0.999988109
PLEKHM2,-0.267295588,0.833821144
AL450998.3,15.86281392,0.999988109
SLC25A34,-1.536866436,0.814826331
SLC25A34-AS1,-2.84E-12,0.999988109
TMEM82,-2.84E-12,0.999988109
FBLIM1,-0.564379812,0.999988109
UQCRHL,0.214507671,0.999988109
AL450998.2,-0.917402097,0.028060425
SPEN,0.029280197,0.999988109
ZBTB17,0.241111056,0.999988109
SRARP,-2.84E-12,0.999988109
AL355994.3,-2.84E-12,0.999988109
HSPB7,-2.84E-12,0.999988109
CLCNKA,-2.84E-12,0.999988109
CLCNKB,-2.84E-12,0.999988109
AL451042.2,16.58258631,0.999988109
AL451042.1,-2.84E-12,0.999988109
ARHGEF19-AS1,-2.84E-12,0.999988109
ARHGEF19,0.257295451,0.999988109
CPLANE2,0.392212775,0.999988109
FBXO42,-0.106532466,0.999988109
SZRD1,0.004650561,0.999988109
SPATA21,0.773216643,0.999988109
NECAP2,0.182767494,0.999988109
AL137802.2,-0.556515298,0.999988109
AL137802.1,-2.84E-12,0.999988109
LINC01783,17.00518995,0.999988109
NBPF1,-1.34831004,0.637031424
AL137798.1,-2.84E-12,0.999988109
AL137798.2,-2.84E-12,0.999988109
AL021920.1,-2.84E-12,0.999988109
AL021920.3,-2.84E-12,0.999988109
CROCC,-0.057342423,0.999988109
BX284668.1,-2.84E-12,0.999988109
BX284668.2,15.86283471,0.999988109
BX284668.5,-2.8059974,0.001517074
BX284668.6,-0.85197506,0.999988109
MFAP2,-2.84E-12,0.999988109
AL049569.1,-2.84E-12,0.999988109
ATP13A2,0.272809297,0.999988109
SDHB,0.068598307,0.999988109
PADI2,-2.84E-12,0.999988109
AL590644.1,-2.84E-12,0.999988109
AL590644.3,-2.84E-12,0.999988109
PADI1,-2.84E-12,0.999988109
PADI3,-2.84E-12,0.999988109
PADI4,-3.408410371,0.765518804
PADI6,-2.84E-12,0.999988109
AC004824.1,-2.84E-12,0.999988109
RCC2,-0.172558431,0.600875632
ARHGEF10L,-2.84E-12,0.999988109
AL136529.1,-2.84E-12,0.999988109
ACTL8,-2.84E-12,0.999988109
AL357509.1,-2.84E-12,0.999988109
LINC01654,-2.84E-12,0.999988109
IGSF21,-2.84E-12,0.999988109
IGSF21-AS1,-2.84E-12,0.999988109
AL591896.1,-2.84E-12,0.999988109
KLHDC7A,-2.84E-12,0.999988109
PAX7,-2.84E-12,0.999988109
TAS1R2,-2.84E-12,0.999988109
AL080251.1,15.86279826,0.999988109
ALDH4A1,-0.761459041,0.999988109
IFFO2,-0.175739443,0.999988109
UBR4,0.062659438,0.999988109
AL035413.1,-0.110004018,0.999988109
EMC1,0.1159771,0.999988109
MRTO4,0.047731621,0.999988109
AKR7A3,15.86281683,0.999988109
AKR7A2,0.403144743,0.999988109
PQLC2,-0.405837385,0.999988109
CAPZB,0.43166495,4.32E-12
MINOS1,0.016575023,0.999988109
NBL1,-0.813371813,6.75E-08
MINOS1-NBL1,15.86281414,0.999988109
HTR6,4.257362028,0.999988109
TMCO4,-0.249161533,0.999988109
RNF186,-2.84E-12,0.999988109
AL391883.1,-2.84E-12,0.999988109
OTUD3,-0.143161915,0.999988109
PLA2G2E,-2.84E-12,0.999988109
PLA2G2A,-2.84E-12,0.999988109
PLA2G5,-2.84E-12,0.999988109
PLA2G2D,-2.84E-12,0.999988109
PLA2G2F,-2.84E-12,0.999988109
Z98257.1,-2.84E-12,0.999988109
UBXN10-AS1,0.32123786,0.999988109
UBXN10,-4.592491683,0.598904585
LINC01757,-2.84E-12,0.999988109
Z98257.2,-2.84E-12,0.999988109
VWA5B1,-2.84E-12,0.999988109
AL020998.1,15.86282867,0.999988109
LINC01141,-2.84E-12,0.999988109
AL139254.1,-2.84E-12,0.999988109
AL139254.2,-2.84E-12,0.999988109
AL139254.3,-2.84E-12,0.999988109
CAMK2N1,-0.826087527,0.08338997
MUL1,0.188771277,0.999988109
FAM43B,-2.84E-12,0.999988109
CDA,-2.84E-12,0.999988109
PINK1-AS,0.808502629,0.999988109
DDOST,-0.058914711,0.999988109
KIF17,-2.84E-12,0.999988109
SH2D5,-0.368716827,0.999988109
AL663074.1,-2.84E-12,0.999988109
HP1BP3,0.149604179,0.477594743
EIF4G3,-0.006008139,0.999988109
ECE1,0.575960769,3.21E-08
AL031005.1,-2.84E-12,0.999988109
AL031728.1,-0.735623755,0.999988109
AL592309.2,-2.84E-12,0.999988109
NBPF3,0.210205897,0.999988109
ALPL,-2.84E-12,0.999988109
AL359815.1,-2.84E-12,0.999988109
USP48,0.228088367,0.746340242
LDLRAD2,-2.84E-12,0.999988109
HSPG2,-2.84E-12,0.999988109
CELA3B,-2.84E-12,0.999988109
CELA3A,-2.84E-12,0.999988109
CDC42,0.301435348,2.45E-08
AL031281.2,#NAME?,0.07558131
WNT4,-2.84E-12,0.999988109
ZBTB40,0.251940487,0.999988109
EPHA8,-2.84E-12,0.999988109
C1QA,-2.84E-12,0.999988109
C1QC,-2.84E-12,0.999988109
C1QB,-2.84E-12,0.999988109
EPHB2,15.8628358,0.999988109
AL512444.1,-2.84E-12,0.999988109
LACTBL1,-2.84E-12,0.999988109
TEX46,-2.84E-12,0.999988109
KDM1A,0.056055986,0.999988109
AL031428.1,15.86282074,0.999988109
LUZP1,-0.599269112,0.002453443
HTR1D,-2.84E-12,0.999988109
LINC01355,-0.69626933,0.999988109
AL109936.6,-2.84E-12,0.999988109
HNRNPR,-0.173271561,0.014483665
ZNF436,-0.497053653,0.999988109
ZNF436-AS1,16.58258077,0.999988109
AL109936.2,-2.84E-12,0.999988109
E2F2,-2.84E-12,0.999988109
AL021154.1,-2.84E-12,0.999988109
ID3,-0.357866367,0.004248157
RPL11,-0.061039994,7.80E-05
ELOA,-0.053197705,0.999988109
ELOA-AS1,0.50052145,0.999988109
PITHD1,0.090502103,0.999988109
LYPLA2,0.291182217,0.034427046
GALE,-0.211818448,0.999988109
HMGCL,0.313704276,0.999988109
FUCA1,0.802622965,0.999988109
CNR2,-2.84E-12,0.999988109
AL590609.3,-2.84E-12,0.999988109
PNRC2,0.112308177,0.99632988
SRSF10,-0.078268191,0.542314008
AL591178.1,-2.84E-12,0.999988109
MYOM3,-2.84E-12,0.999988109
AL591178.2,-2.84E-12,0.999988109
IL22RA1,15.86283969,0.999988109
IFNLR1,1.255140699,0.857434954
AL590683.1,16.58262636,0.999988109
AL138902.1,-2.84E-12,0.999988109
GRHL3,-2.84E-12,0.999988109
STPG1,-1.270333364,0.817711939
NIPAL3,1.046329769,0.009926931
RCAN3,0.612418884,0.009521809
AL445686.2,1.530937416,0.995225577
SRRM1,0.107889298,0.114900917
AL445648.1,-2.84E-12,0.999988109
CLIC4,-0.66017177,0.231436506
RUNX3,0.175461251,0.09974414
AL445471.1,-2.37902981,0.340571499
AL445471.2,-2.84E-12,0.999988109
AL050344.1,-2.84E-12,0.999988109
AL031432.1,-2.84E-12,0.999988109
SYF2,-0.025513018,0.999988109
RSRP1,0.30396906,0.452131333
AL031432.3,-3.408519295,0.765518804
RHD,-2.84E-12,0.999988109
TMEM50A,-0.00931082,0.999988109
MACO1,-0.419554499,0.35307609
LDLRAP1,0.654499898,0.999988109
AL606491.1,16.58265002,0.999988109
MAN1C1,-2.203213584,0.538042502
AL031280.1,-2.84E-12,0.999988109
SELENON,-0.177635002,0.999988109
AL020996.2,-2.84E-12,0.999988109
MTFR1L,0.135216265,0.999988109
AL020996.3,-2.84E-12,0.999988109
AUNIP,-2.84E-12,0.999988109
PAQR7,-0.712712677,0.999988109
STMN1,0.191094569,0.999988109
PAFAH2,-0.450034312,0.999988109
EXTL1,-2.84E-12,0.999988109
SLC30A2,-2.84E-12,0.999988109
TRIM63,-2.84E-12,0.999988109
PDIK1L,-0.059518294,0.999988109
FAM110D,-1.331983527,0.999988109
C1orf232,-2.84E-12,0.999988109
AL391650.1,0.604824388,0.999988109
ZNF593,-0.189431675,0.000151193
CNKSR1,1.013090097,0.999988109
CEP85,0.530158545,0.402668877
SH3BGRL3,-0.085340416,0.071313357
UBXN11,-0.598898819,0.22056899
CD52,-0.488097292,9.76E-20
ZNF683,-2.84E-12,0.999988109
LIN28A,-2.84E-12,0.999988109
DHDDS,0.357138298,0.502427997
AL513365.2,16.90231094,0.999988109
HMGN2,-0.258769126,0.004623624
RPS6KA1,0.619625587,2.50E-06
ARID1A,-0.381898283,0.003152518
PIGV,-1.680630046,3.80E-07
ZDHHC18,-0.024308887,0.999988109
SFN,#NAME?,0.13252873
AL034380.1,-2.84E-12,0.999988109
GPN2,-0.006050587,0.999988109
GPATCH3,-0.160681238,0.999988109
NUDC,0.226619504,1.18E-05
NR0B2,-2.84E-12,0.999988109
KDF1,#NAME?,0.201785062
TRNP1,-1.564243736,0.999988109
TENT5B,-2.84E-12,0.999988109
SLC9A1,0.097740628,0.999988109
AL590640.1,-2.84E-12,0.999988109
WDTC1,-0.249493749,0.999988109
TMEM222,0.138828013,0.999988109
SYTL1,-0.622725098,0.562167513
MAP3K6,#NAME?,0.020591548
FCN3,-2.84E-12,0.999988109
CD164L2,-2.84E-12,0.999988109
GPR3,-0.236075381,0.999988109
WASF2,-0.116925225,0.999988109
FO393419.2,-2.84E-12,0.999988109
AHDC1,0.458865496,0.999988109
LINC02574,-2.84E-12,0.999988109
IFI6,-1.242261429,4.28E-07
AL445490.1,-3.114051092,0.820955973
FAM76A,1.211515227,0.676828691
STX12,0.288424111,0.999988109
PPP1R8,-0.024579172,0.999988109
THEMIS2,-1.407923442,0.891411196
RPA2,-0.173066007,0.691513905
SMPDL3B,-2.84E-12,0.999988109
AL512288.1,-2.84E-12,0.999988109
XKR8,-1.017592307,0.607771643
EYA3,-0.102194135,0.999988109
PTAFR,-1.602018346,0.750550208
DNAJC8,-0.273320726,1.30E-05
ATP5IF1,0.091964568,0.999988109
AL353622.2,16.90231105,0.999988109
SESN2,-0.043984,0.999988109
MED18,0.143946214,0.999988109
PHACTR4,-0.275171715,0.695081659
RCC1,-0.229715188,0.339360908
TRNAU1AP,0.068121145,0.999988109
SNHG12,0.005241816,0.999988109
TAF12,-0.007539727,0.999988109
RAB42,-2.84E-12,0.999988109
LINC01715,-0.279302293,0.999988109
AL360012.1,-2.84E-12,0.999988109
GMEB1,0.049159252,0.999988109
YTHDF2,-0.202545165,0.053149155
OPRD1,-2.84E-12,0.999988109
AL009181.1,-2.84E-12,0.999988109
EPB41,-0.15245365,0.999988109
AL357500.1,#NAME?,0.201785062
SRSF4,0.121116478,0.7002013
MECR,0.101215096,0.999988109
AL590729.1,-2.84E-12,0.999988109
PTPRU,-4.233072,0.195212166
LINC01756,-2.84E-12,0.999988109
AC092265.1,-2.84E-12,0.999988109
AL645944.2,-2.84E-12,0.999988109
LINC01648,-2.84E-12,0.999988109
AL137076.1,-2.84E-12,0.999988109
AL161638.2,-2.84E-12,0.999988109
AL161638.1,-2.84E-12,0.999988109
MATN1,0.937062226,0.999988109
MATN1-AS1,-0.906954915,0.420333349
LAPTM5,-0.274098615,0.204096957
AL137027.1,-2.84E-12,0.999988109
LINC01778,15.86282816,0.999988109
AL445235.1,-2.84E-12,0.999988109
PUM1,-0.142249803,0.611118988
NKAIN1,-2.84E-12,0.999988109
SNRNP40,0.08477904,0.999988109
ZCCHC17,0.088282603,0.999988109
AL451070.1,-2.84E-12,0.999988109
FABP3,-2.84E-12,0.999988109
SERINC2,-2.84E-12,0.999988109
AC114488.1,-2.84E-12,0.999988109
TINAGL1,15.86281377,0.999988109
HCRTR1,-2.84E-12,0.999988109
PEF1,0.264464954,0.259824891
AC114488.2,-0.158366019,0.999988109
COL16A1,-2.84E-12,0.999988109
ADGRB2,15.86284117,0.999988109
AL354919.2,-2.84E-12,0.999988109
SPOCD1,-2.84E-12,0.999988109
AL354919.1,-2.84E-12,0.999988109
PTP4A2,-0.460106233,1.23E-09
AL136115.1,#NAME?,0.201785062
AL136115.3,-2.84E-12,0.999988109
KHDRBS1,-0.118512656,0.530845848
TMEM39B,-0.155858766,0.999988109
KPNA6,-0.033464956,0.999988109
TXLNA,0.212658666,0.477591176
CCDC28B,0.362115888,0.999988109
DCDC2B,16.58265461,0.999988109
TMEM234,0.245719093,0.999988109
EIF3I,0.09712807,0.242749116
LCK,0.021372817,0.999988109
HDAC1,0.040561606,0.999988109
MARCKSL1,0.150813095,0.65102178
AL109945.1,-2.84E-12,0.999988109
TSSK3,15.86281389,0.999988109
FAM229A,-1.593591959,0.999988109
BSDC1,0.27481313,0.999988109
AL033529.1,-2.84E-12,0.999988109
ZBTB8B,-2.84E-12,0.999988109
ZBTB8OS,0.285970434,0.047202996
RBBP4,0.213057857,0.115258562
SYNC,-0.965720985,0.618300743
AC114489.1,-2.84E-12,0.999988109
YARS,-0.098753629,0.660912744
S100PBP,0.134908142,0.999988109
FNDC5,-2.84E-12,0.999988109
HPCA,-2.84E-12,0.999988109
TMEM54,15.86279971,0.999988109
RNF19B,0.305147702,0.999988109
AL020995.1,16.58264393,0.999988109
AK2,0.617117785,5.90E-31
AZIN2,-4.888609173,0.618221471
TRIM62,-0.38307671,0.999988109
AL662907.3,-2.84E-12,0.999988109
ZNF362,0.275895397,0.999988109
AL513327.3,-2.84E-12,0.999988109
A3GALT2,15.86283681,0.999988109
PHC2,-0.227210639,0.783473005
AL513327.2,-0.958285444,0.999988109
ZSCAN20,-1.248010694,0.999988109
CSMD2,-2.84E-12,0.999988109
HMGB4,-2.84E-12,0.999988109
CSMD2-AS1,-2.84E-12,0.999988109
C1orf94,-2.84E-12,0.999988109
SMIM12,-0.036242553,0.999988109
GJB5,-2.84E-12,0.999988109
GJB4,-2.84E-12,0.999988109
AL121988.1,-2.84E-12,0.999988109
GJB3,15.86285187,0.999988109
GJA4,-2.84E-12,0.999988109
AL122010.1,-2.84E-12,0.999988109
DLGAP3,-0.991328797,0.053616924
AC114490.3,-0.291120637,0.999988109
AC114490.2,0.567726226,0.999988109
TMEM35B,-0.108669499,0.999988109
ZMYM6,0.303826602,0.999988109
ZMYM1,-0.900003586,0.29477723
AL590434.1,-2.84E-12,0.999988109
SFPQ,-0.436171829,6.05E-36
ZMYM4,0.770382783,0.056398644
ZMYM4-AS1,-0.459001354,0.999988109
KIAA0319L,-0.339989657,0.999988109
NCDN,0.32543679,0.447998931
AC004865.2,-0.842128088,0.999988109
TFAP2E,-3.133167447,0.255929558
PSMB2,0.14231033,0.065039422
C1orf216,0.086124391,0.999988109
CLSPN,-0.751061612,0.999988109
AL354864.1,-2.84E-12,0.999988109
AGO4,0.243045789,0.999988109
AGO1,0.239294359,0.999988109
AL139286.2,-2.84E-12,0.999988109
AGO3,-0.082595143,0.999988109
TEKT2,-2.84E-12,0.999988109
ADPRHL2,0.171985638,0.765380558
TRAPPC3,0.217965027,0.155115651
MAP7D1,0.272462623,0.928616931
THRAP3,0.16184831,0.242331008
AL591845.1,-2.84E-12,0.999988109
STK40,-0.137328686,0.999988109
LSM10,0.113949965,0.999988109
OSCP1,-2.84E-12,0.999988109
MRPS15,-0.088775471,0.803949679
CSF3R,16.90231112,0.999988109
AL596257.1,-2.84E-12,0.999988109
AC117945.2,-2.84E-12,0.999988109
AC117945.1,-2.84E-12,0.999988109
GRIK3,-2.84E-12,0.999988109
AL031430.1,-2.84E-12,0.999988109
AL353604.1,-2.84E-12,0.999988109
LINC01137,0.014653887,0.999988109
ZC3H12A,0.171136355,0.42264946
MEAF6,0.142346115,0.643833002
SNIP1,-0.209681634,0.869934077
DNALI1,-2.21290982,0.999988109
GNL2,0.008217235,0.999988109
RSPO1,-2.84E-12,0.999988109
